seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.00,0.00,0.00,0.00
510,0.00,0.00,0.00,0.00
540,0.00,0.00,0.00,0.00
570,0.00,0.00,0.00,0.00
600,0.00,0.00,0.00,0.00
630,0.13,0.12,0.13,0.12
660,0.60,0.18,0.60,0.18
690,0.83,0.13,0.83,0.13
720,0.90,0.11,0.90,0.11
750,0.93,0.09,0.93,0.09
780,1.00,0.00,1.00,0.00
810,1.00,0.00,1.00,0.00
840,1.00,0.00,1.00,0.00
870,1.00,0.00,1.00,0.00
900,1.00,0.00,1.00,0.00
930,1.00,0.00,1.00,0.00
960,1.00,0.00,1.00,0.00
990,1.00,0.00,1.00,0.00
1020,1.00,0.00,1.00,0.00
1050,1.00,0.00,1.00,0.00
1080,1.00,0.00,1.00,0.00
1110,1.00,0.00,1.00,0.00
1140,1.00,0.00,1.00,0.00
1170,1.00,0.00,1.00,0.00
1200,1.00,0.00,1.00,0.00
1230,1.00,0.00,1.00,0.00
1260,1.00,0.00,1.00,0.00
1290,1.00,0.00,1.00,0.00
1320,1.00,0.00,1.00,0.00
1350,1.00,0.00,1.00,0.00
1380,1.00,0.00,1.00,0.00
1410,1.00,0.00,1.00,0.00
1440,1.00,0.00,1.00,0.00
1470,1.00,0.00,1.00,0.00
1500,1.00,0.00,1.00,0.00
1530,1.00,0.00,1.00,0.00
1560,1.00,0.00,1.00,0.00
1590,1.00,0.00,1.00,0.00
1620,1.00,0.00,1.00,0.00
1650,1.00,0.00,1.00,0.00
1680,1.00,0.00,1.00,0.00
1710,1.00,0.00,1.03,0.06
1740,1.00,0.00,1.07,0.09
1770,1.00,0.00,1.10,0.11
1800,1.00,0.00,1.10,0.11
1830,1.00,0.00,1.10,0.11
1860,1.00,0.00,1.10,0.11
1890,1.00,0.00,1.10,0.11
1920,1.00,0.00,1.10,0.11
1950,1.00,0.00,1.10,0.11
1980,1.00,0.00,1.10,0.11
2010,1.00,0.00,1.10,0.11
2040,1.07,0.09,1.40,0.20
2070,1.13,0.12,1.70,0.19
2100,1.13,0.12,1.93,0.18
2130,1.17,0.13,2.07,0.13
2160,1.17,0.13,2.07,0.13
2190,1.17,0.13,2.07,0.13
2220,1.17,0.13,2.10,0.11
2250,1.17,0.13,2.10,0.11
2280,1.17,0.13,2.10,0.11
2310,1.17,0.13,2.10,0.11
2340,1.17,0.13,2.10,0.11
2370,1.23,0.15,2.37,0.20
2400,1.27,0.16,2.53,0.20
2430,1.30,0.16,2.77,0.18
2460,1.30,0.16,2.93,0.18
2490,1.33,0.17,3.00,0.16
2520,1.33,0.17,3.03,0.15
2550,1.33,0.17,3.03,0.15
2580,1.37,0.17,3.07,0.13
2610,1.40,0.18,3.10,0.11
2640,1.40,0.18,3.10,0.11
2670,1.40,0.18,3.13,0.12
2700,1.47,0.22,3.37,0.20
2730,1.53,0.22,3.60,0.20
2760,1.57,0.24,3.70,0.19
2790,1.63,0.24,3.87,0.18
2820,1.63,0.24,3.97,0.15
2850,1.63,0.24,4.00,0.16
2880,1.63,0.24,4.03,0.15
2910,1.63,0.24,4.03,0.15
2940,1.63,0.24,4.03,0.15
2970,1.63,0.24,4.07,0.13
3000,1.63,0.24,4.13,0.12
3030,1.73,0.26,4.27,0.18
3060,1.77,0.26,4.43,0.20
3090,1.83,0.28,4.63,0.20
3120,1.87,0.27,4.80,0.19
3150,1.87,0.27,4.90,0.17
3180,1.90,0.27,4.93,0.16
3210,1.90,0.27,5.00,0.13
3240,1.90,0.27,5.00,0.13
3270,1.90,0.27,5.03,0.15
3300,1.90,0.27,5.03,0.15
3330,1.90,0.27,5.07,0.16
3360,1.97,0.28,5.23,0.18
3390,2.07,0.31,5.43,0.20
3420,2.13,0.32,5.53,0.20
3450,2.17,0.31,5.73,0.18
3480,2.17,0.31,5.90,0.17
3510,2.17,0.31,5.90,0.17
3540,2.20,0.31,5.97,0.15
3570,2.20,0.31,6.00,0.13
3600,2.37,0.31,7.00,0.13

time +odiff>0:
311.07 (+/- 1.01) min=306
+odiff_times=[312, 310, 319, 309, 313, 316, 314, 311, 310, 311, 311, 308, 310, 315, 310, 310, 309, 312, 308, 310, 306, 310, 312, 308, 317, 313, 310, 310, 310, 308]
+odiff_src=['spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf']
#odiffs=[3, 2, 4, 3, 1, 3, 2, 1, 4, 4, 2, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 1, 1, 3, 2, 2, 3, 1, 2, 2]
#ddiffs=[7, 7, 8, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 6]
