seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,0.00,0.00,0.00,0.00
390,0.00,0.00,0.00,0.00
420,0.00,0.00,0.00,0.00
450,0.00,0.00,0.00,0.00
480,0.00,0.00,0.00,0.00
510,0.00,0.00,0.00,0.00
540,0.00,0.00,0.00,0.00
570,0.00,0.00,0.00,0.00
600,0.00,0.00,0.00,0.00
630,0.00,0.00,0.00,0.00
660,0.00,0.00,0.40,0.18
690,0.00,0.00,0.40,0.18
720,0.00,0.00,0.40,0.18
750,0.00,0.00,0.40,0.18
780,0.00,0.00,0.40,0.18
810,0.00,0.00,0.40,0.18
840,0.00,0.00,0.40,0.18
870,0.00,0.00,0.40,0.18
900,0.00,0.00,0.40,0.18
930,0.00,0.00,0.40,0.18
960,0.03,0.06,0.50,0.22
990,0.33,0.17,1.30,0.21
1020,0.40,0.18,1.37,0.20
1050,0.40,0.18,1.37,0.20
1080,0.40,0.18,1.37,0.20
1110,0.40,0.18,1.37,0.20
1140,0.40,0.18,1.37,0.20
1170,0.40,0.18,1.37,0.20
1200,0.40,0.18,1.37,0.20
1230,0.40,0.18,1.37,0.20
1260,0.40,0.18,1.37,0.20
1290,0.70,0.21,2.27,0.23
1320,0.73,0.23,2.33,0.19
1350,0.77,0.24,2.37,0.20
1380,0.77,0.24,2.37,0.20
1410,0.77,0.24,2.37,0.20
1440,0.77,0.24,2.37,0.20
1470,0.77,0.24,2.37,0.20
1500,0.77,0.24,2.37,0.20
1530,0.77,0.24,2.37,0.20
1560,0.77,0.24,2.37,0.20
1590,0.87,0.22,3.03,0.22
1620,0.87,0.22,3.20,0.23
1650,0.93,0.24,3.30,0.21
1680,0.93,0.24,3.37,0.20
1710,0.93,0.24,3.37,0.20
1740,0.93,0.24,3.37,0.20
1770,0.93,0.24,3.37,0.20
1800,0.93,0.24,3.37,0.20
1830,0.93,0.24,3.37,0.20
1860,0.93,0.24,3.37,0.20
1890,0.93,0.24,3.37,0.20
1920,1.13,0.27,4.10,0.21
1950,1.13,0.27,4.30,0.21
1980,1.13,0.27,4.37,0.20
2010,1.13,0.27,4.37,0.20
2040,1.13,0.27,4.37,0.20
2070,1.13,0.27,4.37,0.20
2100,1.13,0.27,4.37,0.20
2130,1.13,0.27,4.37,0.20
2160,1.13,0.27,4.37,0.20
2190,1.13,0.27,4.37,0.20
2220,1.30,0.28,5.03,0.22
2250,1.37,0.30,5.30,0.21
2280,1.37,0.30,5.30,0.21
2310,1.37,0.30,5.37,0.20
2340,1.37,0.30,5.37,0.20
2370,1.37,0.30,5.37,0.20
2400,1.37,0.30,5.37,0.20
2430,1.37,0.30,5.37,0.20
2460,1.37,0.30,5.37,0.20
2490,1.37,0.30,5.37,0.20
2520,1.43,0.30,5.50,0.22
2550,1.53,0.32,5.93,0.23
2580,1.67,0.32,6.27,0.23
2610,1.70,0.34,6.37,0.20
2640,1.70,0.34,6.37,0.20
2670,1.70,0.34,6.37,0.20
2700,1.70,0.34,6.37,0.20
2730,1.70,0.34,6.37,0.20
2760,1.70,0.34,6.37,0.20
2790,1.70,0.34,6.37,0.20
2820,1.70,0.34,6.37,0.20
2850,1.80,0.34,6.93,0.23
2880,1.97,0.34,7.23,0.22
2910,2.03,0.34,7.37,0.20
2940,2.03,0.34,7.37,0.20
2970,2.03,0.34,7.37,0.20
3000,2.03,0.34,7.37,0.20
3030,2.03,0.34,7.37,0.20
3060,2.03,0.34,7.37,0.20
3090,2.03,0.34,7.37,0.20
3120,2.03,0.34,7.37,0.20
3150,2.13,0.38,7.70,0.23
3180,2.23,0.37,7.97,0.22
3210,2.27,0.37,8.23,0.22
3240,2.27,0.37,8.33,0.21
3270,2.27,0.37,8.37,0.20
3300,2.27,0.37,8.37,0.20
3330,2.27,0.37,8.37,0.20
3360,2.27,0.37,8.37,0.20
3390,2.27,0.37,8.37,0.20
3420,2.27,0.37,8.37,0.20
3450,2.27,0.37,8.37,0.20
3480,2.33,0.35,8.83,0.21
3510,2.43,0.37,9.23,0.22
3540,2.43,0.37,9.33,0.21
3570,2.47,0.37,9.37,0.20
3600,2.47,0.37,9.37,0.20

time +odiff>0:
1479.17 (+/- 231.25) min=960
+odiff_times=[964, 1275, 1587, 964, 962, 1625, 3469, 1587, 960, 2520, 962, 1902, 961, 1585, 1274, 962, 963, 1272, 966, 2557, 1274, 1278, 1901, 1271, 2876, 999, 2216, 1000, 967, 1276]
#odiffs=[3, 3, 2, 4, 3, 4, 1, 4, 3, 2, 4, 3, 4, 3, 1, 3, 3, 3, 2, 1, 1, 2, 2, 2, 1, 3, 2, 3, 1, 1]
#ddiffs=[9, 10, 9, 9, 9, 9, 9, 10, 9, 8, 10, 10, 10, 9, 10, 9, 9, 10, 9, 10, 10, 9, 9, 10, 9, 9, 10, 10, 9, 9]
