seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.00,0.00,0.00,0.00
150,0.00,0.00,0.00,0.00
180,0.00,0.00,0.00,0.00
210,0.00,0.00,0.00,0.00
240,0.00,0.00,0.00,0.00
270,0.00,0.00,0.00,0.00
300,0.00,0.00,0.00,0.00
330,0.00,0.00,0.00,0.00
360,1.00,0.00,1.00,0.00
390,1.00,0.00,1.00,0.00
420,1.00,0.00,1.00,0.00
450,1.00,0.00,1.00,0.00
480,1.00,0.00,1.00,0.00
510,1.00,0.00,1.00,0.00
540,1.00,0.00,1.00,0.00
570,1.00,0.00,1.00,0.00
600,1.00,0.00,1.00,0.00
630,1.00,0.00,1.00,0.00
660,1.00,0.00,1.00,0.00
690,1.00,0.00,1.00,0.00
720,1.00,0.00,1.00,0.00
750,1.00,0.00,1.00,0.00
780,1.00,0.00,1.00,0.00
810,1.00,0.00,1.00,0.00
840,1.00,0.00,1.00,0.00
870,1.00,0.00,1.00,0.00
900,1.00,0.00,1.00,0.00
930,1.00,0.00,1.00,0.00
960,1.00,0.00,1.00,0.00
990,1.00,0.00,1.00,0.00
1020,1.00,0.00,1.00,0.00
1050,1.00,0.00,1.00,0.00
1080,1.00,0.00,1.00,0.00
1110,1.00,0.00,1.00,0.00
1140,1.00,0.00,1.00,0.00
1170,1.00,0.00,1.00,0.00
1200,1.00,0.00,1.00,0.00
1230,1.00,0.00,1.00,0.00
1260,1.00,0.00,1.00,0.00
1290,1.00,0.00,1.00,0.00
1320,1.00,0.00,1.00,0.00
1350,1.00,0.00,1.00,0.00
1380,1.00,0.00,1.00,0.00
1410,1.00,0.00,1.00,0.00
1440,1.00,0.00,1.00,0.00
1470,1.00,0.00,1.00,0.00
1500,1.00,0.00,1.00,0.00
1530,1.00,0.00,1.00,0.00
1560,1.00,0.00,1.00,0.00
1590,1.00,0.00,1.00,0.00
1620,1.00,0.00,1.00,0.00
1650,1.00,0.00,1.00,0.00
1680,1.00,0.00,1.00,0.00
1710,1.00,0.00,1.00,0.00
1740,1.00,0.00,1.00,0.00
1770,1.00,0.00,1.00,0.00
1800,1.00,0.00,1.00,0.00
1830,1.00,0.00,1.00,0.00
1860,1.00,0.00,1.00,0.00
1890,1.00,0.00,1.00,0.00
1920,1.00,0.00,1.00,0.00
1950,1.00,0.00,1.00,0.00
1980,1.00,0.00,1.00,0.00
2010,1.00,0.00,1.00,0.00
2040,1.00,0.00,1.00,0.00
2070,1.00,0.00,1.00,0.00
2100,1.00,0.00,1.00,0.00
2130,1.00,0.00,1.00,0.00
2160,1.00,0.00,1.00,0.00
2190,1.00,0.00,1.00,0.00
2220,1.00,0.00,1.00,0.00
2250,1.00,0.00,1.00,0.00
2280,1.00,0.00,1.00,0.00
2310,1.00,0.00,1.00,0.00
2340,1.00,0.00,1.00,0.00
2370,1.00,0.00,1.00,0.00
2400,1.00,0.00,1.00,0.00
2430,1.00,0.00,1.00,0.00
2460,1.00,0.00,1.00,0.00
2490,1.00,0.00,1.00,0.00
2520,1.00,0.00,1.00,0.00
2550,1.00,0.00,1.00,0.00
2580,1.00,0.00,1.00,0.00
2610,1.00,0.00,1.00,0.00
2640,1.00,0.00,1.00,0.00
2670,1.00,0.00,1.00,0.00
2700,1.00,0.00,1.00,0.00
2730,1.00,0.00,1.00,0.00
2760,1.00,0.00,1.00,0.00
2790,1.00,0.00,1.00,0.00
2820,1.00,0.00,1.00,0.00
2850,1.00,0.00,1.00,0.00
2880,1.00,0.00,1.00,0.00
2910,1.00,0.00,1.00,0.00
2940,1.00,0.00,1.00,0.00
2970,1.00,0.00,1.00,0.00
3000,1.00,0.00,1.00,0.00
3030,1.00,0.00,1.00,0.00
3060,1.00,0.00,1.00,0.00
3090,1.00,0.00,1.00,0.00
3120,1.00,0.00,1.00,0.00
3150,1.00,0.00,1.00,0.00
3180,1.00,0.00,1.00,0.00
3210,1.00,0.00,1.00,0.00
3240,1.00,0.00,1.00,0.00
3270,1.00,0.00,1.00,0.00
3300,1.00,0.00,1.00,0.00
3330,1.00,0.00,1.00,0.00
3360,1.00,0.00,1.00,0.00
3390,1.00,0.00,1.00,0.00
3420,1.00,0.00,1.00,0.00
3450,1.00,0.00,1.00,0.00
3480,1.00,0.00,1.00,0.00
3510,1.00,0.00,1.00,0.00
3540,1.00,0.00,1.00,0.00
3570,1.00,0.00,1.00,0.00
3600,1.00,0.00,1.00,0.00

time +odiff>0:
344.47 (+/- 1.62) min=337
+odiff_times=[353, 350, 341, 338, 351, 343, 337, 341, 339, 348, 345, 348, 344, 344, 341, 349, 346, 342, 340, 348, 340, 344, 347, 347, 355, 347, 345, 338, 343, 340]
#odiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
#ddiffs=[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
