seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,13.27,0.34
60,0.00,0.00,24.43,0.59
90,0.00,0.00,33.23,0.76
120,0.00,0.00,40.97,0.76
150,0.00,0.00,49.00,0.92
180,0.00,0.00,58.17,1.50
210,0.00,0.00,66.80,1.99
240,0.00,0.00,75.40,2.24
270,0.00,0.00,83.47,2.21
300,0.00,0.00,91.33,2.21
330,0.00,0.00,99.03,2.34
360,0.00,0.00,106.43,2.10
390,0.00,0.00,113.93,2.13
420,0.00,0.00,120.77,2.35
450,0.00,0.00,127.80,2.67
480,0.00,0.00,134.70,3.03
510,0.00,0.00,140.90,3.13
540,0.00,0.00,147.20,3.41
570,0.00,0.00,153.73,3.66
600,0.00,0.00,159.53,4.05

time +odiff>0:
600.00 (+/- 0.00) min=600
+odiff_times=[600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600, 600]
#odiffs=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
#ddiffs=[143, 158, 129, 172, 151, 179, 152, 165, 176, 155, 158, 158, 151, 153, 163, 164, 144, 154, 158, 159, 160, 163, 168, 168, 157, 183, 151, 168, 150, 176]
