seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,3.37,0.48,21.77,0.74
60,7.73,0.63,46.57,1.59
90,12.63,0.94,72.10,1.97
120,18.57,0.95,96.07,2.70
150,23.80,1.17,117.97,3.11
180,28.80,1.41,141.23,3.60
210,34.17,1.69,162.00,4.48
240,39.63,1.78,187.47,5.47
270,46.40,2.16,213.43,5.84
300,52.23,2.31,238.27,6.44
330,58.17,2.54,263.10,6.70
360,64.13,2.59,287.53,6.55
390,70.17,2.70,310.07,7.03
420,76.63,3.12,333.97,7.89
450,83.03,3.39,357.43,8.56
480,89.97,3.82,381.77,9.01
510,96.47,4.37,404.83,9.13
540,101.87,4.55,427.13,8.82
570,107.90,4.77,450.13,9.05
600,113.33,4.80,471.50,8.93

time +odiff>0:
8.93 (+/- 2.13) min=2
+odiff_times=[13, 16, 20, 12, 10, 5, 3, 7, 16, 5, 3, 4, 2, 12, 12, 5, 2, 4, 16, 6, 8, 6, 6, 13, 26, 10, 2, 16, 5, 3]
+odiff_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'spf', 'afl', 'afl', 'afl', 'afl', 'afl']
#odiffs=[139, 104, 96, 116, 112, 118, 112, 137, 94, 108, 99, 119, 100, 103, 94, 110, 116, 137, 103, 90, 116, 128, 123, 98, 122, 131, 109, 128, 118, 120]
#ddiffs=[477, 450, 408, 507, 491, 478, 452, 467, 473, 476, 478, 464, 450, 488, 436, 446, 499, 465, 489, 449, 471, 499, 446, 513, 478, 523, 472, 482, 432, 486]
