seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,3.00,0.00,5.00,0.00
60,6.00,0.00,8.93,0.09
90,6.57,0.18,9.57,0.18
120,7.00,0.00,10.00,0.00
150,7.00,0.00,10.00,0.00
180,7.00,0.00,10.00,0.00
210,7.00,0.00,10.00,0.00
240,7.00,0.00,10.00,0.00
270,7.00,0.00,10.00,0.00
300,7.00,0.00,10.00,0.00
330,7.00,0.00,10.00,0.00
360,7.00,0.00,10.00,0.00
390,7.00,0.00,10.00,0.00
420,7.00,0.00,10.00,0.00
450,7.00,0.00,10.00,0.00
480,7.00,0.00,10.00,0.00
510,7.00,0.00,10.00,0.00
540,7.00,0.00,10.00,0.00
570,7.00,0.00,10.00,0.00
600,7.00,0.00,10.00,0.00

time +odiff>0:
2.87 (+/- 0.15) min=2
+odiff_times=[3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 3, 2, 3, 3, 3, 3, 3, 3, 2]
#odiffs=[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
#ddiffs=[10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
