seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,9.27,0.51
60,0.07,0.09,14.50,0.56
90,0.07,0.09,17.00,0.57
120,0.07,0.09,18.93,0.68
150,0.13,0.12,21.23,0.76
180,0.20,0.14,23.57,1.02
210,0.27,0.16,25.47,0.99
240,0.33,0.17,26.93,1.07
270,0.40,0.18,28.00,1.01
300,0.50,0.18,29.37,1.12
330,0.57,0.18,30.13,1.16
360,0.60,0.18,31.70,1.11
390,0.63,0.17,32.77,1.25
420,0.63,0.17,33.37,1.28
450,0.63,0.17,34.27,1.25
480,0.70,0.16,35.33,1.23
510,0.73,0.16,36.17,1.22
540,0.80,0.14,36.83,1.17
570,0.80,0.14,37.40,1.12
600,0.83,0.13,37.90,1.11

time +odiff>0:
342.80 (+/- 63.36) min=32
+odiff_times=[600, 206, 462, 491, 512, 258, 343, 523, 283, 319, 192, 591, 149, 153, 32, 478, 287, 46, 223, 600, 600, 600, 312, 277, 144, 600, 155, 376, 228, 244]
#odiffs=[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1]
#ddiffs=[36, 41, 39, 40, 39, 34, 33, 35, 42, 43, 35, 36, 38, 42, 42, 42, 33, 37, 33, 36, 38, 37, 41, 36, 44, 37, 35, 38, 37, 38]
