seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,9.27,0.58,14.10,0.59
60,19.73,0.92,25.03,0.93
90,30.00,1.40,32.90,1.05
120,40.57,1.54,39.00,0.91
150,50.73,1.53,44.67,1.08
180,61.17,1.71,49.80,1.37
210,71.63,1.95,54.37,1.38
240,81.90,2.16,58.03,1.22
270,92.70,2.05,61.90,1.22
300,105.57,2.43,65.97,1.64
330,118.47,2.75,69.10,1.82
360,130.27,3.41,72.67,1.96
390,141.80,3.29,75.47,2.06
420,154.63,3.38,78.43,2.03
450,167.37,3.89,81.13,2.12
480,181.63,4.22,84.37,2.16
510,195.10,4.54,87.13,2.32
540,208.23,4.84,89.63,2.37
570,220.63,5.19,92.07,2.53
600,234.23,5.63,94.20,2.67

time +odiff>0:
4.77 (+/- 0.15) min=4
+odiff_times=[4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5]
+odiff_src=['spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'alf=spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'spf']
#odiffs=[236, 242, 230, 232, 211, 221, 242, 260, 242, 234, 230, 250, 231, 246, 246, 228, 267, 219, 234, 229, 186, 213, 217, 241, 250, 232, 226, 255, 241, 236]
#ddiffs=[99, 104, 103, 92, 87, 90, 103, 89, 80, 91, 93, 87, 88, 78, 87, 92, 94, 102, 96, 88, 102, 91, 93, 90, 104, 96, 100, 93, 110, 104]
