seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,1.00,0.00,1.00,0.00
60,1.00,0.00,1.00,0.00
90,1.00,0.00,2.00,0.00
120,1.00,0.00,3.00,0.00
150,1.00,0.00,3.50,0.18
180,1.00,0.00,4.00,0.00
210,1.00,0.00,4.00,0.00
240,1.00,0.00,5.00,0.00
270,1.00,0.00,5.00,0.00
300,2.00,0.00,9.00,0.00
330,2.00,0.00,9.00,0.00
360,2.00,0.00,10.63,0.22
390,2.00,0.00,12.00,0.00
420,2.00,0.00,12.00,0.00
450,2.00,0.00,12.00,0.00
480,2.00,0.00,12.00,0.00
510,2.00,0.00,12.00,0.00
540,2.00,0.00,12.00,0.00
570,2.00,0.00,12.00,0.00
600,2.00,0.00,12.00,0.00

time +odiff>0:
5.23 (+/- 0.15) min=5
+odiff_times=[5, 5, 5, 5, 5, 6, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 5, 5, 6, 5, 6, 5, 6, 5]
#odiffs=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
#ddiffs=[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]
