seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.00,0.00,0.00,0.00
120,0.03,0.06,0.10,0.14
150,0.10,0.11,0.17,0.19
180,0.10,0.11,0.20,0.19
210,0.10,0.11,0.30,0.23
240,0.13,0.12,0.37,0.25
270,0.20,0.14,0.47,0.29
300,0.20,0.14,0.57,0.40
330,0.23,0.18,0.67,0.45
360,0.37,0.20,0.97,0.53
390,0.50,0.20,1.13,0.54
420,0.53,0.20,1.27,0.55
450,0.53,0.20,1.37,0.56
480,0.57,0.22,1.50,0.58
510,0.57,0.22,1.53,0.58
540,0.67,0.23,1.80,0.63
570,0.67,0.23,2.00,0.69
600,0.70,0.23,2.13,0.73

time +odiff>0:
441.83 (+/- 57.70) min=120
+odiff_times=[381, 350, 600, 269, 600, 600, 600, 409, 349, 263, 600, 120, 574, 361, 600, 361, 600, 533, 600, 146, 339, 600, 211, 600, 376, 600, 150, 511, 600, 352]
#odiffs=[1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 2, 1, 0, 2, 0, 2, 0, 1, 1, 0, 1]
#ddiffs=[4, 4, 1, 1, 0, 0, 1, 4, 1, 3, 0, 4, 2, 2, 0, 2, 0, 3, 0, 7, 4, 0, 5, 0, 5, 1, 3, 1, 0, 6]
