seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,0.00,0.00,0.00,0.00
60,0.00,0.00,0.00,0.00
90,0.87,0.27,1.40,0.22
120,1.77,0.18,5.37,0.33
150,2.00,0.00,6.07,0.13
180,2.00,0.00,6.20,0.19
210,2.00,0.00,6.50,0.26
240,2.00,0.00,6.70,0.29
270,2.00,0.00,7.07,0.32
300,2.00,0.00,7.30,0.32
330,2.00,0.00,7.47,0.33
360,2.00,0.00,7.60,0.33
390,2.00,0.00,7.73,0.34
420,2.00,0.00,7.87,0.34
450,2.00,0.00,8.07,0.34
480,2.00,0.00,8.20,0.39
510,2.00,0.00,8.27,0.38
540,2.00,0.00,8.40,0.43
570,2.00,0.00,8.57,0.42
600,2.00,0.00,8.93,0.39

time +odiff>0:
71.70 (+/- 1.71) min=62
+odiff_times=[73, 73, 66, 68, 76, 75, 69, 71, 70, 65, 72, 71, 75, 66, 77, 68, 74, 78, 62, 75, 82, 69, 75, 69, 66, 68, 70, 71, 83, 74]
+odiff_src=['alf=spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf', 'spf', 'spf', 'spf', 'spf', 'alf=spf']
#odiffs=[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
#ddiffs=[7, 8, 8, 9, 9, 8, 9, 11, 10, 11, 8, 11, 10, 8, 10, 10, 10, 9, 9, 8, 7, 9, 8, 9, 9, 8, 8, 8, 10, 9]
