seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,7.40,0.71,14.20,0.68
60,14.50,0.96,27.27,1.02
90,20.53,1.28,38.87,1.16
120,26.97,1.24,49.50,1.46
150,33.13,1.32,59.47,1.31
180,38.87,1.30,68.57,1.33
210,43.97,1.38,77.03,1.51
240,50.03,1.51,84.60,1.67
270,55.93,1.64,93.07,1.71
300,61.57,1.80,100.93,1.81
330,67.77,2.34,109.50,2.00
360,73.43,2.91,116.50,2.07
390,78.73,3.37,124.03,2.11
420,85.50,3.64,131.47,2.22
450,91.80,3.97,138.60,2.46
480,97.73,4.33,145.40,2.67
510,103.67,4.70,151.90,2.77
540,110.53,5.25,158.90,3.00
570,117.17,5.67,164.90,3.30
600,123.30,5.86,170.63,3.43

time +odiff>0:
5.17 (+/- 1.20) min=2
+odiff_times=[3, 3, 3, 13, 3, 3, 6, 2, 7, 6, 7, 3, 7, 4, 7, 4, 13, 4, 14, 2, 3, 3, 2, 6, 4, 2, 2, 6, 10, 3]
#odiffs=[110, 116, 115, 102, 112, 129, 123, 114, 146, 144, 124, 136, 107, 105, 127, 112, 172, 104, 118, 128, 119, 127, 131, 131, 107, 106, 120, 157, 144, 113]
#ddiffs=[174, 164, 177, 165, 172, 169, 155, 168, 164, 173, 196, 174, 163, 165, 172, 173, 167, 168, 160, 168, 180, 161, 193, 180, 161, 177, 160, 182, 157, 181]
