seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,7.87,0.60,14.60,1.11
60,15.33,1.07,28.17,1.52
90,23.10,1.63,42.03,1.82
120,31.70,1.64,54.87,1.97
150,40.10,1.83,67.40,2.24
180,49.00,2.16,78.77,2.55
210,58.60,2.73,90.10,2.63
240,68.77,3.15,102.27,2.94
270,78.50,3.88,114.83,3.18
300,87.93,4.72,126.10,3.59
330,97.00,4.98,136.97,3.85
360,106.20,5.44,148.37,3.70
390,115.50,6.44,159.43,3.92
420,124.23,6.61,170.10,4.23
450,134.67,7.39,179.47,4.59
480,146.53,8.58,190.10,5.04
510,157.40,9.59,200.37,5.18
540,167.57,10.87,208.47,5.25
570,179.73,11.85,216.77,5.47
600,189.73,11.94,225.33,5.62

time +odiff>0:
3.80 (+/- 0.69) min=1
+odiff_times=[5, 3, 2, 7, 2, 7, 2, 2, 4, 2, 3, 2, 7, 6, 2, 7, 3, 2, 7, 4, 6, 4, 2, 4, 1, 6, 4, 2, 4, 2]
+odiff_src=['afl', 'afl', 'afl', 'alf=spf', 'afl', 'spf', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'alf=spf', 'afl', 'afl', 'spf', 'afl', 'afl', 'spf', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl']
#odiffs=[208, 197, 165, 195, 217, 180, 172, 226, 241, 176, 160, 163, 246, 169, 197, 139, 197, 186, 198, 116, 170, 199, 204, 294, 181, 146, 181, 185, 196, 188]
#ddiffs=[201, 232, 220, 244, 237, 222, 215, 209, 226, 220, 213, 229, 242, 226, 218, 212, 235, 229, 213, 169, 228, 230, 242, 250, 232, 229, 222, 226, 242, 247]
