seconds,avg_odiff,ci_odiff,avg_ddiff,ci_ddiff
30,7.00,0.00,11.00,0.00
60,7.00,0.00,11.00,0.00
90,7.00,0.00,11.00,0.00
120,16.13,0.62,12.93,0.09
150,31.00,0.00,16.97,0.06
180,31.00,0.00,20.00,0.00
210,31.00,0.00,22.00,0.00
240,31.00,0.00,29.37,0.49
270,33.00,0.00,32.00,0.00
300,33.00,0.00,32.00,0.00
330,33.00,0.00,32.00,0.00
360,33.00,0.00,32.00,0.00
390,33.00,0.00,32.00,0.00
420,33.00,0.00,32.00,0.00
450,33.00,0.00,32.00,0.00
480,33.00,0.00,32.00,0.00
510,33.00,0.00,32.00,0.00
540,33.00,0.00,32.00,0.00
570,33.00,0.00,32.00,0.00
600,33.00,0.00,32.00,0.00

time +odiff>0:
5.33 (+/- 0.17) min=5
+odiff_times=[5, 5, 5, 6, 5, 6, 6, 6, 5, 6, 5, 5, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 6, 5, 5, 6, 5, 5]
#odiffs=[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]
#ddiffs=[32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32, 32]
