seconds,avg_highscore,ci,maximum
30,0.00,0.00,0
60,0.00,0.00,0
90,0.00,0.00,0
120,0.00,0.00,0
150,0.00,0.00,0
180,0.00,0.00,0
210,0.00,0.00,0
240,0.00,0.00,0
270,0.00,0.00,0
300,0.00,0.00,0
330,0.00,0.00,0
360,0.00,0.00,0
390,0.00,0.00,0
420,0.00,0.00,0
450,0.00,0.00,0
480,0.00,0.00,0
510,0.00,0.00,0
540,0.00,0.00,0
570,0.00,0.00,0
600,0.00,0.00,0
630,0.00,0.00,0
660,0.00,0.00,0
690,0.00,0.00,0
720,0.00,0.00,0
750,0.00,0.00,0
780,0.00,0.00,0
810,0.00,0.00,0
840,0.00,0.00,0
870,0.00,0.00,0
900,0.00,0.00,0
930,0.00,0.00,0
960,0.00,0.00,0
990,0.00,0.00,0
1020,0.00,0.00,0
1050,0.00,0.00,0
1080,0.00,0.00,0
1110,0.00,0.00,0
1140,0.00,0.00,0
1170,0.00,0.00,0
1200,0.00,0.00,0
1230,0.00,0.00,0
1260,0.00,0.00,0
1290,0.00,0.00,0
1320,0.00,0.00,0
1350,0.00,0.00,0
1380,0.00,0.00,0
1410,0.00,0.00,0
1440,0.00,0.00,0
1470,0.00,0.00,0
1500,0.00,0.00,0
1530,0.00,0.00,0
1560,0.00,0.00,0
1590,0.00,0.00,0
1620,0.00,0.00,0
1650,0.00,0.00,0
1680,0.00,0.00,0
1710,0.00,0.00,0
1740,0.00,0.00,0
1770,0.00,0.00,0
1800,0.00,0.00,0

time delta>0:
1800.00 (+/- 0.00)
delta>0Times=[1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800, 1800]
deltas=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
deltas(30s)=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
