seconds,avg_highscore,ci,maximum
30,30.47,9.19,100
60,42.67,8.75,100
90,53.00,8.25,100
120,58.80,7.69,100
150,61.40,7.91,120
180,61.87,7.69,120
210,64.67,8.09,120
240,71.00,8.35,120
270,71.20,8.39,120
300,72.20,8.07,120
330,73.67,7.83,120
360,74.60,7.42,120
390,74.60,7.42,120
420,74.60,7.42,120
450,75.13,7.47,120
480,76.33,7.31,120
510,77.80,7.28,120
540,80.40,7.43,120
570,82.33,7.29,122
600,82.33,7.29,122
630,82.67,7.22,122
660,84.60,8.65,168
690,87.20,8.57,168
720,88.13,8.37,168
750,90.73,7.93,168
780,91.87,8.14,168
810,94.40,10.03,184
840,94.53,10.03,184
870,97.20,11.16,208
900,99.67,12.91,238
930,102.40,12.74,238
960,102.40,12.74,238
990,106.40,13.06,238
1020,106.80,12.91,238
1050,108.53,12.72,238
1080,109.07,12.68,238
1110,109.20,12.67,238
1140,109.20,12.67,238
1170,109.40,12.64,238
1200,112.13,12.58,238
1230,112.93,12.72,238
1260,115.20,12.99,238
1290,119.87,13.51,238
1320,119.87,13.51,238
1350,119.93,13.51,238
1380,120.00,13.49,238
1410,120.93,13.33,238
1440,122.07,13.18,238
1470,122.73,13.23,238
1500,125.73,13.47,238
1530,126.27,13.44,238
1560,127.27,13.80,238
1590,127.27,13.80,238
1620,127.27,13.80,238
1650,127.80,13.52,238
1680,128.60,13.47,238
1710,129.53,14.04,238
1740,131.20,14.23,238
1770,132.80,14.90,238
1800,132.87,14.87,238

time delta>0:
5.07 (+/- 1.18)
delta>0Times=[14, 7, 5, 13, 3, 4, 2, 6, 12, 2, 9, 5, 4, 8, 2, 8, 5, 5, 2, 3, 6, 3, 2, 5, 3, 3, 3, 3, 1, 4]
deltas=[86, 108, 126, 80, 156, 132, 124, 78, 184, 126, 148, 92, 178, 122, 96, 142, 148, 104, 192, 176, 236, 238, 100, 112, 144, 106, 154, 104, 94, 100]
deltas(30s)=[22, 46, 8, 28, 12, 24, 34, 28, 12, 8, 12, 16, 70, 12, 12, 12, 32, 74, 32, 8, 32, 100, 16, 16, 16, 48, 60, 16, 8, 100]
