seconds,avg_highscore,ci,maximum
30,38.40,12.84,128
60,224.53,10.14,254
90,233.20,6.59,254
120,238.53,5.05,254
150,242.27,4.57,254
180,246.00,4.03,254
210,249.73,3.26,254
240,250.40,3.19,254
270,252.40,1.94,254
300,253.47,0.80,254
330,253.47,0.80,254
360,253.47,0.80,254
390,253.47,0.80,254
420,253.87,0.26,254
450,254.00,0.00,254
480,254.00,0.00,254
510,254.00,0.00,254
540,254.00,0.00,254
570,254.00,0.00,254
600,254.00,0.00,254
630,254.00,0.00,254
660,254.00,0.00,254
690,254.00,0.00,254
720,254.00,0.00,254
750,254.00,0.00,254
780,254.00,0.00,254
810,254.00,0.00,254
840,254.00,0.00,254
870,254.00,0.00,254
900,254.00,0.00,254
930,254.00,0.00,254
960,254.00,0.00,254
990,254.00,0.00,254
1020,254.00,0.00,254
1050,254.00,0.00,254
1080,254.00,0.00,254
1110,254.00,0.00,254
1140,254.00,0.00,254
1170,254.00,0.00,254
1200,254.00,0.00,254
1230,254.00,0.00,254
1260,254.00,0.00,254
1290,254.00,0.00,254
1320,254.00,0.00,254
1350,254.00,0.00,254
1380,254.00,0.00,254
1410,254.00,0.00,254
1440,254.00,0.00,254
1470,254.00,0.00,254
1500,254.00,0.00,254
1530,254.00,0.00,254
1560,254.00,0.00,254
1590,254.00,0.00,254
1620,254.00,0.00,254
1650,254.00,0.00,254
1680,254.00,0.00,254
1710,254.00,0.00,254
1740,254.00,0.00,254
1770,254.00,0.00,254
1800,254.00,0.00,254

time delta>0:
3.47 (+/- 0.74)
delta>0Times=[2, 4, 7, 4, 6, 1, 3, 3, 6, 2, 7, 3, 3, 2, 1, 2, 2, 9, 6, 1, 6, 4, 4, 2, 3, 1, 3, 4, 2, 1]
delta>0_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl']
deltas=[254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254]
deltas(30s)=[16, 6, 50, 40, 32, 16, 20, 20, 118, 122, 98, 22, 16, 20, 24, 4, 32, 16, 102, 28, 46, 30, 42, 4, 8, 24, 8, 24, 36, 128]
