seconds,avg_highscore,ci,maximum
30,0.00,0.00,0
60,254.00,0.00,254
90,254.00,0.00,254
120,254.00,0.00,254
150,254.00,0.00,254
180,254.00,0.00,254
210,254.00,0.00,254
240,254.00,0.00,254
270,254.00,0.00,254
300,254.00,0.00,254
330,254.00,0.00,254
360,254.00,0.00,254
390,254.00,0.00,254
420,254.00,0.00,254
450,254.00,0.00,254
480,254.00,0.00,254
510,254.00,0.00,254
540,254.00,0.00,254
570,254.00,0.00,254
600,254.00,0.00,254
630,254.00,0.00,254
660,254.00,0.00,254
690,254.00,0.00,254
720,254.00,0.00,254
750,254.00,0.00,254
780,254.00,0.00,254
810,254.00,0.00,254
840,254.00,0.00,254
870,254.00,0.00,254
900,254.00,0.00,254
930,254.00,0.00,254
960,254.00,0.00,254
990,254.00,0.00,254
1020,254.00,0.00,254
1050,254.00,0.00,254
1080,254.00,0.00,254
1110,254.00,0.00,254
1140,254.00,0.00,254
1170,254.00,0.00,254
1200,254.00,0.00,254
1230,254.00,0.00,254
1260,254.00,0.00,254
1290,254.00,0.00,254
1320,254.00,0.00,254
1350,254.00,0.00,254
1380,254.00,0.00,254
1410,254.00,0.00,254
1440,254.00,0.00,254
1470,254.00,0.00,254
1500,254.00,0.00,254
1530,254.00,0.00,254
1560,254.00,0.00,254
1590,254.00,0.00,254
1620,254.00,0.00,254
1650,254.00,0.00,254
1680,254.00,0.00,254
1710,254.00,0.00,254
1740,254.00,0.00,254
1770,254.00,0.00,254
1800,254.00,0.00,254

time delta>0:
34.20 (+/- 0.19)
delta>0Times=[34, 34, 34, 34, 33, 34, 34, 35, 34, 35, 35, 35, 34, 34, 34, 35, 34, 34, 34, 34, 33, 34, 34, 35, 34, 35, 34, 35, 34, 34]
deltas=[254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254, 254]
deltas(30s)=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
