seconds,avg_highscore,ci,maximum
30,226.67,7.94,262
60,237.27,7.53,270
90,243.00,7.16,272
120,250.83,4.74,272
150,252.33,4.55,272
180,253.77,4.73,272
210,254.67,4.60,272
240,256.10,4.53,272
270,257.50,4.09,272
300,259.00,3.99,272
330,260.60,3.57,272
360,260.87,3.57,272
390,262.07,3.37,281
420,263.23,2.94,281
450,263.30,2.95,281
480,264.37,2.61,281
510,264.37,2.61,281
540,264.37,2.61,281
570,265.87,2.79,281
600,265.87,2.79,281
630,265.87,2.79,281
660,266.03,2.77,281
690,266.03,2.77,281
720,266.03,2.77,281
750,266.53,2.77,281
780,266.80,2.76,281
810,267.20,2.78,281
840,267.20,2.78,281
870,267.53,2.86,281
900,267.87,2.89,281
930,268.10,2.96,281
960,268.17,2.97,281
990,268.37,2.94,281
1020,268.77,2.93,281
1050,269.47,3.03,281
1080,269.47,3.03,281
1110,269.50,3.02,281
1140,269.77,2.95,281
1170,270.20,2.94,281
1200,270.20,2.94,281
1230,270.47,3.02,283
1260,270.47,3.02,283
1290,270.57,3.03,283
1320,270.83,3.11,283
1350,270.83,3.11,283
1380,270.83,3.11,283
1410,270.83,3.11,283
1440,270.83,3.11,283
1470,270.83,3.11,283
1500,271.47,2.27,283
1530,271.47,2.27,283
1560,271.47,2.27,283
1590,271.70,2.23,283
1620,272.23,2.35,286
1650,272.47,2.37,286
1680,272.67,2.46,286
1710,272.67,2.46,286
1740,272.67,2.46,286
1770,272.67,2.46,286
1800,272.77,2.47,286

time delta>0:
1.90 (+/- 0.28)
delta>0Times=[3, 2, 3, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 2, 1, 4, 3, 2, 1, 2, 1, 3, 2, 2, 2, 3, 1]
deltas=[284, 275, 269, 277, 262, 268, 268, 268, 269, 270, 286, 277, 270, 262, 271, 274, 274, 277, 253, 272, 271, 272, 279, 275, 272, 282, 268, 283, 281, 274]
deltas(30s)=[228, 215, 234, 262, 222, 253, 228, 212, 219, 259, 242, 206, 242, 201, 219, 250, 218, 260, 168, 259, 205, 224, 215, 218, 236, 229, 225, 253, 214, 184]
