seconds,avg_highscore,ci,maximum
30,254.27,1.75,269
60,256.37,2.22,269
90,258.60,2.74,278
120,259.13,2.72,278
150,260.03,2.59,278
180,261.93,2.68,278
210,263.10,2.46,278
240,263.13,2.47,278
270,263.40,2.46,278
300,264.17,2.21,278
330,264.30,2.21,278
360,265.60,1.92,278
390,266.43,2.05,282
420,267.00,1.99,282
450,267.30,1.98,282
480,267.50,2.03,282
510,267.50,2.03,282
540,268.60,2.22,284
570,268.93,2.15,284
600,268.93,2.15,284
630,268.93,2.15,284
660,269.23,2.14,284
690,269.23,2.14,284
720,269.33,2.11,284
750,271.07,2.61,290
780,271.07,2.61,290
810,271.27,2.58,290
840,271.63,2.56,290
870,272.17,2.65,290
900,272.17,2.65,290
930,272.87,3.37,307
960,272.87,3.37,307
990,272.97,3.34,307
1020,273.53,3.32,307
1050,273.63,3.29,307
1080,274.03,3.25,307
1110,274.03,3.25,307
1140,274.03,3.25,307
1170,274.17,3.20,307
1200,274.47,3.17,307
1230,275.00,3.15,307
1260,275.00,3.15,307
1290,275.00,3.15,307
1320,275.23,3.06,307
1350,275.23,3.06,307
1380,275.23,3.06,307
1410,275.23,3.06,307
1440,275.23,3.06,307
1470,275.23,3.06,307
1500,275.23,3.06,307
1530,275.87,3.16,307
1560,275.87,3.16,307
1590,275.87,3.16,307
1620,275.87,3.16,307
1650,275.87,3.16,307
1680,275.93,3.17,307
1710,275.93,3.17,307
1740,275.93,3.17,307
1770,275.93,3.17,307
1800,275.93,3.17,307

time delta>0:
1.93 (+/- 0.26)
delta>0Times=[1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 4, 1, 2, 3, 3, 2, 2, 1, 2, 2, 1, 3, 2, 3, 2]
delta>0_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl']
deltas=[276, 271, 274, 286, 269, 271, 266, 266, 284, 274, 268, 266, 281, 289, 269, 269, 281, 268, 282, 271, 280, 273, 271, 290, 277, 268, 277, 307, 277, 277]
deltas(30s)=[252, 252, 252, 252, 252, 252, 252, 252, 252, 265, 256, 266, 252, 262, 252, 252, 252, 252, 252, 252, 252, 262, 252, 252, 269, 252, 252, 252, 252, 252]
