seconds,avg_highscore,ci,maximum
30,252.00,0.00,252
60,252.00,0.00,252
90,252.00,0.00,252
120,252.00,0.00,252
150,252.00,0.00,252
180,252.00,0.00,252
210,252.00,0.00,252
240,252.00,0.00,252
270,252.00,0.00,252
300,252.00,0.00,252
330,252.00,0.00,252
360,252.00,0.00,252
390,252.00,0.00,252
420,252.00,0.00,252
450,252.00,0.00,252
480,252.00,0.00,252
510,252.00,0.00,252
540,252.00,0.00,252
570,252.00,0.00,252
600,252.00,0.00,252
630,252.00,0.00,252
660,252.00,0.00,252
690,252.00,0.00,252
720,252.00,0.00,252
750,252.00,0.00,252
780,252.00,0.00,252
810,252.00,0.00,252
840,252.00,0.00,252
870,252.00,0.00,252
900,252.00,0.00,252
930,252.00,0.00,252
960,252.00,0.00,252
990,252.00,0.00,252
1020,252.00,0.00,252
1050,252.00,0.00,252
1080,252.00,0.00,252
1110,252.00,0.00,252
1140,252.00,0.00,252
1170,252.00,0.00,252
1200,252.00,0.00,252
1230,252.00,0.00,252
1260,252.00,0.00,252
1290,252.00,0.00,252
1320,252.00,0.00,252
1350,252.00,0.00,252
1380,252.00,0.00,252
1410,252.00,0.00,252
1440,252.00,0.00,252
1470,252.00,0.00,252
1500,252.00,0.00,252
1530,252.00,0.00,252
1560,252.00,0.00,252
1590,252.00,0.00,252
1620,252.00,0.00,252
1650,252.00,0.00,252
1680,252.00,0.00,252
1710,252.00,0.00,252
1740,252.00,0.00,252
1770,252.00,0.00,252
1800,252.00,0.00,252

time delta>0:
3.30 (+/- 0.16)
delta>0Times=[3, 4, 3, 3, 4, 3, 3, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4]
deltas=[252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252]
deltas(30s)=[252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252, 252]
