seconds,avg_highscore,ci,maximum
30,0.60,0.80,9
60,25.20,3.85,72
90,32.40,5.23,90
120,39.00,6.62,90
150,43.20,6.93,90
180,49.50,7.75,90
210,53.10,7.17,90
240,54.60,7.80,108
270,58.20,7.33,108
300,60.30,6.66,108
330,63.00,6.17,108
360,65.70,6.71,108
390,69.00,7.45,108
420,69.90,7.38,108
450,71.70,7.03,108
480,73.20,6.94,108
510,74.10,6.64,108
540,74.70,6.61,108
570,77.40,6.58,117
600,78.30,6.23,117
630,79.20,6.30,117
660,80.10,6.07,117
690,82.20,6.26,117
720,82.80,6.41,117
750,82.80,6.41,117
780,86.40,5.86,117
810,86.40,5.86,117
840,88.50,6.91,144
870,88.50,6.91,144
900,88.80,6.89,144
930,89.70,7.22,144
960,90.30,7.22,144
990,91.80,6.83,144
1020,92.70,6.86,144
1050,93.00,6.97,144
1080,95.40,6.89,144
1110,98.70,9.89,207
1140,98.70,9.89,207
1170,106.83,15.33,280
1200,107.13,15.32,280
1230,108.33,15.23,280
1260,110.73,14.93,280
1290,111.03,14.82,280
1320,111.63,14.66,280
1350,111.93,14.56,280
1380,112.83,14.42,280
1410,112.83,14.42,280
1440,114.03,14.65,280
1470,114.63,14.52,280
1500,114.63,14.52,280
1530,114.63,14.52,280
1560,118.27,16.45,280
1590,120.07,17.32,280
1620,120.07,17.32,280
1650,120.37,17.30,280
1680,120.67,17.31,280
1710,120.67,17.31,280
1740,123.37,17.65,280
1770,128.20,19.48,280
1800,129.40,19.52,280

time delta>0:
41.60 (+/- 3.17)
delta>0Times=[44, 44, 41, 38, 42, 51, 60, 40, 39, 53, 39, 35, 37, 38, 30, 33, 30, 31, 31, 37, 58, 43, 58, 39, 49, 43, 60, 37, 37, 31]
deltas=[117, 108, 90, 117, 81, 90, 117, 108, 81, 90, 243, 253, 135, 99, 180, 135, 126, 108, 99, 126, 280, 153, 99, 244, 99, 108, 72, 81, 144, 99]
deltas(30s)=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
