seconds,avg_highscore,ci,maximum
30,0.00,0.00,0
60,20.40,4.23,54
90,241.43,31.64,280
120,262.83,22.99,280
150,262.83,22.99,280
180,262.83,22.99,280
210,263.13,22.58,280
240,263.43,22.19,280
270,263.43,22.19,280
300,264.03,21.41,280
330,264.03,21.41,280
360,264.03,21.41,280
390,265.53,19.39,280
420,265.53,19.39,280
450,266.43,18.17,280
480,266.43,18.17,280
510,266.43,18.17,280
540,266.43,18.17,280
570,266.43,18.17,280
600,266.43,18.17,280
630,267.33,16.98,280
660,267.33,16.98,280
690,267.33,16.98,280
720,267.33,16.98,280
750,267.33,16.98,280
780,267.33,16.98,280
810,267.33,16.98,280
840,267.33,16.98,280
870,267.33,16.98,280
900,267.33,16.98,280
930,267.33,16.98,280
960,267.93,16.16,280
990,267.93,16.16,280
1020,267.93,16.16,280
1050,267.93,16.16,280
1080,267.93,16.16,280
1110,267.93,16.16,280
1140,267.93,16.16,280
1170,267.93,16.16,280
1200,267.93,16.16,280
1230,267.93,16.16,280
1260,268.53,15.38,280
1290,274.57,10.47,280
1320,274.57,10.47,280
1350,274.57,10.47,280
1380,274.57,10.47,280
1410,274.57,10.47,280
1440,274.57,10.47,280
1470,280.00,0.00,280
1500,280.00,0.00,280
1530,280.00,0.00,280
1560,280.00,0.00,280
1590,280.00,0.00,280
1620,280.00,0.00,280
1650,280.00,0.00,280
1680,280.00,0.00,280
1710,280.00,0.00,280
1740,280.00,0.00,280
1770,280.00,0.00,280
1800,280.00,0.00,280

time delta>0:
45.63 (+/- 3.11)
delta>0Times=[61, 55, 53, 77, 49, 46, 45, 41, 40, 41, 53, 64, 38, 39, 38, 43, 42, 43, 47, 41, 43, 43, 38, 40, 43, 39, 43, 41, 43, 40]
delta>0_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl']
deltas=[280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280]
deltas(30s)=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
