seconds,avg_highscore,ci,maximum
30,0.00,0.00,0
60,46.67,37.34,280
90,280.00,0.00,280
120,280.00,0.00,280
150,280.00,0.00,280
180,280.00,0.00,280
210,280.00,0.00,280
240,280.00,0.00,280
270,280.00,0.00,280
300,280.00,0.00,280
330,280.00,0.00,280
360,280.00,0.00,280
390,280.00,0.00,280
420,280.00,0.00,280
450,280.00,0.00,280
480,280.00,0.00,280
510,280.00,0.00,280
540,280.00,0.00,280
570,280.00,0.00,280
600,280.00,0.00,280
630,280.00,0.00,280
660,280.00,0.00,280
690,280.00,0.00,280
720,280.00,0.00,280
750,280.00,0.00,280
780,280.00,0.00,280
810,280.00,0.00,280
840,280.00,0.00,280
870,280.00,0.00,280
900,280.00,0.00,280
930,280.00,0.00,280
960,280.00,0.00,280
990,280.00,0.00,280
1020,280.00,0.00,280
1050,280.00,0.00,280
1080,280.00,0.00,280
1110,280.00,0.00,280
1140,280.00,0.00,280
1170,280.00,0.00,280
1200,280.00,0.00,280
1230,280.00,0.00,280
1260,280.00,0.00,280
1290,280.00,0.00,280
1320,280.00,0.00,280
1350,280.00,0.00,280
1380,280.00,0.00,280
1410,280.00,0.00,280
1440,280.00,0.00,280
1470,280.00,0.00,280
1500,280.00,0.00,280
1530,280.00,0.00,280
1560,280.00,0.00,280
1590,280.00,0.00,280
1620,280.00,0.00,280
1650,280.00,0.00,280
1680,280.00,0.00,280
1710,280.00,0.00,280
1740,280.00,0.00,280
1770,280.00,0.00,280
1800,280.00,0.00,280

time delta>0:
70.30 (+/- 3.36)
delta>0Times=[54, 70, 71, 89, 69, 63, 71, 67, 71, 70, 90, 77, 71, 79, 68, 83, 80, 89, 70, 68, 62, 59, 59, 67, 58, 55, 72, 67, 77, 63]
deltas=[280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280]
deltas(30s)=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
