seconds,avg_highscore,ci,maximum
30,3.67,0.47,7
60,4.53,0.53,9
90,5.13,0.56,10
120,5.77,0.49,10
150,6.17,0.52,10
180,6.40,0.60,11
210,6.67,0.56,11
240,6.93,0.64,12
270,7.13,0.62,12
300,7.23,0.64,12
330,7.50,0.75,13
360,7.77,0.79,13
390,8.13,0.76,13
420,8.47,0.70,13
450,8.70,0.70,13
480,8.73,0.69,13
510,8.87,0.71,13
540,9.07,0.65,13
570,9.33,0.60,13
600,9.33,0.60,13
630,9.70,0.62,13
660,9.87,0.65,13
690,10.13,0.68,14
720,10.30,0.63,14
750,10.30,0.63,14
780,10.30,0.63,14
810,10.30,0.63,14
840,10.43,0.59,14
870,10.57,0.60,14
900,10.57,0.60,14
930,10.60,0.60,14
960,10.63,0.60,14
990,10.63,0.60,14
1020,10.63,0.60,14
1050,10.63,0.60,14
1080,10.63,0.60,14
1110,10.67,0.60,14
1140,10.67,0.60,14
1170,10.67,0.60,14
1200,10.67,0.60,14
1230,10.73,0.59,14
1260,10.80,0.59,14
1290,10.87,0.60,14
1320,11.07,0.64,15
1350,11.13,0.64,15
1380,11.20,0.65,15
1410,11.20,0.65,15
1440,11.20,0.65,15
1470,11.33,0.61,15
1500,11.37,0.61,15
1530,11.47,0.63,15
1560,11.47,0.63,15
1590,11.50,0.64,15
1620,11.50,0.64,15
1650,11.53,0.64,15
1680,11.63,0.64,15
1710,11.70,0.64,15
1740,11.70,0.64,15
1770,11.70,0.64,15
1800,11.77,0.60,15

time delta>0:
3.77 (+/- 0.72)
delta>0Times=[2, 2, 5, 4, 2, 6, 4, 6, 4, 4, 3, 4, 4, 2, 6, 3, 2, 4, 3, 3, 4, 1, 5, 3, 1, 3, 12, 3, 4, 4]
deltas=[10, 12, 12, 8, 13, 14, 13, 12, 12, 13, 15, 13, 13, 10, 12, 12, 11, 13, 13, 12, 10, 13, 11, 11, 8, 11, 10, 9, 14, 13]
deltas(30s)=[3, 2, 3, 4, 1, 4, 5, 4, 3, 3, 4, 3, 5, 2, 2, 3, 4, 7, 3, 5, 4, 6, 6, 5, 3, 4, 3, 2, 3, 4]
