seconds,avg_highscore,ci,maximum
30,3.87,0.50,7
60,5.43,0.88,16
90,6.43,0.86,16
120,6.63,0.83,16
150,7.13,0.90,16
180,7.50,1.05,17
210,8.10,1.09,17
240,8.50,1.05,17
270,8.67,1.03,17
300,8.87,1.01,17
330,9.30,0.97,17
360,9.40,0.97,17
390,9.63,0.98,17
420,10.00,0.96,17
450,10.23,0.95,17
480,10.30,0.94,17
510,10.40,0.90,17
540,10.67,0.84,17
570,11.10,0.87,20
600,11.17,0.86,20
630,11.27,0.84,20
660,11.27,0.84,20
690,11.43,0.86,20
720,11.67,0.83,20
750,11.67,0.83,20
780,11.87,0.85,20
810,12.17,0.79,20
840,12.23,0.81,20
870,12.40,0.86,20
900,12.40,0.86,20
930,12.50,0.99,23
960,12.50,0.99,23
990,12.63,1.00,23
1020,12.63,1.00,23
1050,12.67,0.99,23
1080,12.67,0.99,23
1110,12.80,0.97,23
1140,12.83,0.96,23
1170,12.83,0.96,23
1200,12.83,0.96,23
1230,12.93,0.95,23
1260,13.00,0.93,23
1290,13.20,0.98,23
1320,13.20,0.98,23
1350,13.20,0.98,23
1380,13.33,0.97,23
1410,13.33,0.97,23
1440,13.33,0.97,23
1470,13.40,0.97,23
1500,13.50,0.97,23
1530,13.50,0.97,23
1560,13.53,0.97,23
1590,13.53,0.97,23
1620,13.53,0.97,23
1650,13.53,0.97,23
1680,13.53,0.97,23
1710,13.63,0.96,23
1740,13.63,0.96,23
1770,13.63,0.96,23
1800,13.80,1.02,23

time delta>0:
4.20 (+/- 0.96)
delta>0Times=[5, 5, 4, 9, 1, 1, 3, 7, 1, 3, 1, 3, 3, 7, 8, 3, 3, 2, 3, 6, 4, 2, 9, 3, 3, 6, 1, 2, 7, 11]
delta>0_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl']
deltas=[13, 23, 17, 13, 15, 10, 12, 11, 14, 14, 11, 15, 11, 16, 13, 19, 12, 13, 19, 13, 14, 13, 16, 11, 11, 13, 13, 14, 15, 10]
deltas(30s)=[3, 2, 6, 5, 4, 5, 3, 2, 3, 4, 3, 7, 4, 3, 5, 3, 5, 4, 3, 5, 3, 2, 3, 6, 4, 7, 2, 3, 4, 3]
