seconds,avg_highscore,ci,maximum
30,0.00,0.00,0
60,0.83,0.13,1
90,2.00,0.00,2
120,2.00,0.00,2
150,2.00,0.00,2
180,2.00,0.00,2
210,2.00,0.00,2
240,2.00,0.00,2
270,2.00,0.00,2
300,2.87,0.12,3
330,3.00,0.00,3
360,3.00,0.00,3
390,3.00,0.00,3
420,3.00,0.00,3
450,3.00,0.00,3
480,3.00,0.00,3
510,3.00,0.00,3
540,3.77,0.15,4
570,3.90,0.11,4
600,15.03,1.98,18
630,16.47,1.46,18
660,17.80,0.17,18
690,20.10,0.51,21
720,20.53,0.40,21
750,20.90,0.19,21
780,21.00,0.00,21
810,21.00,0.00,21
840,21.00,0.00,21
870,21.00,0.00,21
900,21.00,0.00,21
930,21.00,0.00,21
960,21.00,0.00,21
990,21.00,0.00,21
1020,21.00,0.00,21
1050,21.00,0.00,21
1080,21.00,0.00,21
1110,21.00,0.00,21
1140,21.00,0.00,21
1170,21.00,0.00,21
1200,21.00,0.00,21
1230,21.00,0.00,21
1260,21.00,0.00,21
1290,21.00,0.00,21
1320,21.00,0.00,21
1350,21.00,0.00,21
1380,21.00,0.00,21
1410,21.00,0.00,21
1440,21.00,0.00,21
1470,21.00,0.00,21
1500,21.00,0.00,21
1530,21.00,0.00,21
1560,21.00,0.00,21
1590,21.00,0.00,21
1620,21.00,0.00,21
1650,21.00,0.00,21
1680,21.00,0.00,21
1710,21.00,0.00,21
1740,21.00,0.00,21
1770,21.00,0.00,21
1800,21.00,0.00,21

time delta>0:
57.70 (+/- 1.03)
delta>0Times=[56, 56, 56, 57, 57, 56, 56, 55, 56, 56, 56, 55, 57, 57, 57, 57, 56, 57, 65, 65, 61, 59, 57, 56, 57, 57, 58, 56, 66, 61]
deltas=[21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21]
deltas(30s)=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
