seconds,avg_highscore,ci,maximum
30,8.97,1.92,24
60,11.90,1.92,24
90,13.53,1.82,24
120,14.80,1.84,26
150,15.70,1.85,27
180,18.10,1.71,27
210,19.20,1.72,29
240,19.87,1.78,29
270,20.47,1.86,33
300,22.03,2.93,53
330,23.90,3.02,53
360,24.70,2.92,53
390,26.13,3.05,53
420,26.67,3.00,53
450,27.30,3.03,53
480,28.60,3.06,53
510,29.13,2.99,53
540,29.70,2.87,53
570,30.57,3.02,53
600,30.63,3.01,53
630,32.40,3.72,66
660,34.07,3.96,66
690,36.43,4.21,66
720,39.07,4.26,66
750,41.13,5.99,105
780,43.20,6.12,105
810,43.80,6.10,105
840,44.37,6.01,105
870,46.03,6.00,105
900,46.90,5.89,105
930,48.23,6.00,105
960,51.97,6.49,105
990,52.87,6.47,105
1020,53.97,6.18,105
1050,54.23,6.18,105
1080,54.30,6.16,105
1110,54.30,6.16,105
1140,55.47,5.95,105
1170,58.57,5.74,105
1200,59.03,5.74,105
1230,59.50,5.64,105
1260,60.47,5.38,105
1290,60.80,5.27,105
1320,61.77,5.01,105
1350,62.47,4.91,105
1380,63.00,5.25,105
1410,63.00,5.25,105
1440,63.00,5.25,105
1470,63.00,5.25,105
1500,63.00,5.25,105
1530,63.00,5.25,105
1560,63.20,5.21,105
1590,64.67,5.51,105
1620,64.67,5.51,105
1650,66.87,6.13,105
1680,67.07,6.06,105
1710,67.07,6.06,105
1740,67.97,6.03,105
1770,69.47,5.99,105
1800,70.87,6.12,105

time delta>0:
6.83 (+/- 1.62)
delta>0Times=[5, 13, 3, 4, 5, 9, 5, 2, 13, 7, 4, 2, 4, 5, 12, 21, 1, 1, 12, 6, 3, 3, 10, 13, 9, 5, 4, 5, 9, 10]
deltas=[57, 90, 86, 86, 57, 54, 57, 71, 60, 66, 105, 54, 53, 63, 62, 68, 81, 54, 66, 78, 60, 96, 62, 81, 105, 86, 42, 98, 47, 81]
deltas(30s)=[11, 12, 6, 3, 9, 2, 3, 17, 9, 20, 6, 5, 9, 6, 6, 3, 6, 8, 8, 5, 24, 11, 6, 9, 6, 12, 6, 20, 15, 6]
