seconds,avg_highscore,ci,maximum
30,9.67,2.57,38
60,12.13,2.28,38
90,92.90,4.24,98
120,97.90,0.19,98
150,97.90,0.19,98
180,98.00,0.00,98
210,98.00,0.00,98
240,98.00,0.00,98
270,98.30,0.58,107
300,98.30,0.58,107
330,98.30,0.58,107
360,98.30,0.58,107
390,98.30,0.58,107
420,98.30,0.58,107
450,98.30,0.58,107
480,98.33,0.58,107
510,98.33,0.58,107
540,98.33,0.58,107
570,98.53,0.68,107
600,98.73,0.77,107
630,98.73,0.77,107
660,98.77,0.77,107
690,98.77,0.77,107
720,98.77,0.77,107
750,98.77,0.77,107
780,98.87,0.78,107
810,98.87,0.78,107
840,99.00,0.80,107
870,99.00,0.80,107
900,99.17,0.93,107
930,99.20,0.93,107
960,99.20,0.93,107
990,99.20,0.93,107
1020,99.20,0.93,107
1050,99.20,0.93,107
1080,99.23,0.93,107
1110,99.23,0.93,107
1140,99.23,0.93,107
1170,99.23,0.93,107
1200,99.23,0.93,107
1230,99.23,0.93,107
1260,99.23,0.93,107
1290,99.23,0.93,107
1320,99.23,0.93,107
1350,99.23,0.93,107
1380,99.23,0.93,107
1410,99.23,0.93,107
1440,99.23,0.93,107
1470,99.23,0.93,107
1500,99.23,0.93,107
1530,99.23,0.93,107
1560,99.23,0.93,107
1590,99.23,0.93,107
1620,99.23,0.93,107
1650,99.23,0.93,107
1680,99.23,0.93,107
1710,99.63,1.15,110
1740,100.40,1.38,111
1770,100.53,1.37,111
1800,100.53,1.37,111

time delta>0:
5.90 (+/- 1.12)
delta>0Times=[15, 3, 4, 9, 3, 12, 6, 11, 6, 4, 5, 5, 12, 2, 7, 5, 6, 6, 3, 2, 8, 7, 4, 5, 6, 4, 7, 3, 3, 4]
delta>0_src=['afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl', 'afl']
deltas=[99, 99, 98, 98, 104, 98, 98, 98, 107, 98, 99, 99, 98, 98, 98, 101, 98, 110, 98, 101, 98, 104, 111, 98, 105, 98, 102, 98, 107, 98]
deltas(30s)=[6, 3, 8, 3, 14, 5, 12, 3, 8, 8, 9, 6, 6, 38, 20, 9, 3, 6, 8, 8, 6, 9, 3, 12, 20, 9, 20, 3, 11, 14]
