seconds,avg_highscore,ci,maximum
30,0.00,0.00,0
60,94.73,6.30,98
90,98.00,0.00,98
120,98.00,0.00,98
150,98.00,0.00,98
180,98.00,0.00,98
210,98.00,0.00,98
240,98.00,0.00,98
270,98.00,0.00,98
300,98.00,0.00,98
330,98.00,0.00,98
360,98.00,0.00,98
390,98.00,0.00,98
420,98.00,0.00,98
450,98.00,0.00,98
480,98.00,0.00,98
510,98.00,0.00,98
540,98.00,0.00,98
570,98.00,0.00,98
600,98.00,0.00,98
630,98.00,0.00,98
660,98.00,0.00,98
690,98.00,0.00,98
720,98.00,0.00,98
750,98.00,0.00,98
780,98.00,0.00,98
810,98.00,0.00,98
840,98.00,0.00,98
870,98.00,0.00,98
900,98.00,0.00,98
930,98.00,0.00,98
960,98.00,0.00,98
990,98.00,0.00,98
1020,98.00,0.00,98
1050,98.00,0.00,98
1080,98.00,0.00,98
1110,98.00,0.00,98
1140,98.00,0.00,98
1170,98.00,0.00,98
1200,98.00,0.00,98
1230,98.00,0.00,98
1260,98.00,0.00,98
1290,98.00,0.00,98
1320,98.00,0.00,98
1350,98.00,0.00,98
1380,98.00,0.00,98
1410,98.00,0.00,98
1440,98.00,0.00,98
1470,98.00,0.00,98
1500,98.00,0.00,98
1530,98.00,0.00,98
1560,98.00,0.00,98
1590,98.00,0.00,98
1620,98.00,0.00,98
1650,98.00,0.00,98
1680,98.00,0.00,98
1710,98.00,0.00,98
1740,98.00,0.00,98
1770,98.00,0.00,98
1800,98.00,0.00,98

time delta>0:
58.50 (+/- 0.51)
delta>0Times=[58, 58, 57, 59, 59, 59, 57, 57, 59, 59, 58, 57, 59, 57, 59, 58, 58, 58, 60, 58, 59, 58, 59, 58, 58, 58, 58, 59, 65, 59]
deltas=[98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98]
deltas(30s)=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
