# time, numberOfNodes, lengthPrioQueue, instructionMapping, sizeSolutionQueue , alreadyReadInputFiles 
1,5,5,5,0,1
1,8,4,4,0,1
1,8,4,4,0,1
1,9,3,3,0,1
1,9,3,3,0,1
2,10,2,2,1,1
2,14,7,7,0,1
2,17,6,6,0,1
2,17,6,6,0,1
2,18,5,5,0,1
2,18,5,5,0,1
2,19,4,4,1,1
3,23,9,9,0,1
3,26,8,8,0,1
3,26,8,8,0,1
3,27,7,7,0,1
3,27,7,7,0,1
3,28,6,6,1,1
3,32,11,11,0,1
3,35,10,10,0,1
3,35,10,10,0,1
4,36,9,9,0,1
4,36,9,9,0,1
4,37,8,8,1,1
4,41,13,13,0,1
4,44,12,12,0,1
4,44,12,12,0,1
4,45,11,11,0,1
4,45,11,11,0,1
5,46,10,10,1,1
5,50,15,15,0,1
5,53,14,14,0,1
5,53,14,14,0,1
5,54,13,13,0,1
5,54,13,13,0,1
6,55,12,12,1,1
6,59,17,17,0,1
6,62,16,16,0,1
6,62,16,16,0,1
6,63,15,15,0,1
6,63,15,15,0,1
7,64,14,14,1,1
7,68,19,19,0,1
7,71,18,18,0,1
7,71,18,18,0,1
7,72,17,17,0,1
7,72,17,17,0,1
7,73,16,16,1,1
8,77,21,21,0,1
8,80,20,20,0,1
8,80,20,20,0,1
8,81,19,19,0,1
8,81,19,19,0,1
8,82,18,18,1,1
8,86,23,23,0,1
9,89,22,22,0,1
9,89,22,22,0,1
9,90,21,21,0,1
9,90,21,21,0,1
9,91,20,20,1,1
9,95,25,25,0,1
10,98,24,24,0,1
10,98,24,24,0,1
10,99,23,23,0,1
10,99,23,23,0,1
10,100,22,22,1,1
10,104,27,27,0,1
10,107,26,26,0,1
10,107,26,26,0,1
10,108,25,25,0,1
10,108,25,25,0,1
11,109,24,24,1,1
11,113,29,29,0,1
11,116,28,28,0,1
11,116,28,28,0,1
11,117,27,27,0,1
11,117,27,27,0,1
11,118,26,26,1,1
11,122,31,31,0,1
11,125,30,30,0,1
11,125,30,30,0,1
12,126,29,29,0,1
12,126,29,29,0,1
12,127,28,28,1,1
12,131,33,33,0,1
12,134,32,32,0,1
12,134,32,32,0,1
12,135,31,31,0,1
12,135,31,31,0,1
12,136,30,30,1,1
12,140,35,35,0,1
12,143,34,34,0,1
12,143,34,34,0,1
13,144,33,33,0,1
13,144,33,33,0,1
13,145,32,32,1,1
13,149,37,37,0,1
13,152,36,36,0,1
13,152,36,36,0,1
13,153,35,35,0,1
13,153,35,35,0,1
13,154,34,34,1,1
13,158,39,39,0,1
13,161,38,38,0,1
13,161,38,38,0,1
